bakovpe01,Vancouver Canucks,VAN
balach01,Ottawa Senators,OTT
balasja01,Columbus Blue Jackets,CBS
baldehe01,Minnesota North Stars,MNS
baldwdo01,Toronto Maple Leafs,TOR
baldwdo01,Chicago Blackhawks,CHI
baldwdo01,Detroit Red Wings,DET
baldwdo01,Chicago Black Hawks,CHI
balejjo01,New York Rangers,NYR
balejjo01,Montreal Canadiens,MTL
balejjo01,Vancouver Canucks,VAN
balesmi01,Ottawa Senators,OTT
balesmi01,Boston Bruins,BOS
balfoea01,Chicago Black Hawks,CHI
balfoea01,Toronto Maple Leafs,TOR
balfoea01,Chicago Blackhawks,CHI
balfomu01,Chicago Blackhawks,CHI
balfomu01,Chicago Black Hawks,CHI
balfomu01,Boston Bruins,BOS
balfomu01,Montreal Canadiens,MTL
ballake01,Florida Panthers,FLO
ballake01,Phoenix Coyotes,PHO
ballake01,Vancouver Canucks,VAN
ballbl01,Cleveland Crusaders,CLC
ballte01,Philadelphia Flyers,PHI
ballte01,Minnesota Fighting Saints,MFS
ballte01,Cincinnati Stingers,CIN
ballte01,Buffalo Sabres,BUF
ballte01,Cleveland Crusaders,CLC
ballte01,Birmingham Bulls,BIR
balmoma01,Mighty Ducks of Anaheim,ANA
balonda01,Vancouver Canucks,VAN
balonda01,Quebec Nordiques,QUN
balonda01,New York Rangers,NYR
balonda01,Minnesota North Stars,MNS
balonda01,Montreal Canadiens,MTL
baltibr01,Denver Spurs/Ottawa Civics,DOT
baltibr01,Indianapolis Racers,IND
baltibr01,Edmonton Oilers,EDM
baltibr01,Chicago Cougars,CHC
baltibr01,Cincinnati Stingers,CIN
baluist01,Boston Bruins,BOS
bancrst01,Chicago Black Hawks,CHI
bancrst01,Chicago Blackhawks,CHI
bancrst01,San Jose Sharks,SJS
banduje01,New York Rangers,NYR
banhafr01,Phoenix Coyotes,PHO
banhafr01,Mighty Ducks of Anaheim,ANA
banksda01,Boston Bruins,BOS
bannemu01,Vancouver Canucks,VAN
bannemu01,Chicago Black Hawks,CHI
bannemu01,Chicago Blackhawks,CHI
bannidr01,Tampa Bay Lightning,TBL
bannidr01,New York Rangers,NYR
bannidr01,Edmonton Oilers,EDM
bannidr01,Mighty Ducks of Anaheim,ANA
barahra01,Boston Bruins,BOS
baraniv01,New York Rangers,NYR
barbean01,Toronto Maple Leafs,TOR
barbebi01,Philadelphia Flyers,PHI
barbebo01,New York Golden Blades/Jersey Knights,NYJ
barbebo01,Chicago Cougars,CHC
barbedo01,Minnesota North Stars,MNS
barbedo01,Quebec Nordiques,QUE
barbedo01,Winnipeg Jets,WIN
barbedo01,San Jose Sharks,SJS
barboal01,Victoria Aristocrats,VA2
barboal01,Portland Rosebuds,PO1
barchkr01,Florida Panthers,FLO
barchkr01,Dallas Stars,DAL
barilbi01,Toronto Maple Leafs,TOR
barinmi01,Chicago Blackhawks,CHI
barinmi01,Chicago Black Hawks,CHI
barkeca01,Chicago Black Hawks,CHI
barkeca01,Edmonton Oilers,EDM
barkeca01,Minnesota Wild,MIN
barkeca01,Chicago Blackhawks,CHI
barkldo01,Chicago Blackhawks,CHI
barkldo01,Chicago Black Hawks,CHI
barkldo01,Detroit Red Wings,DET
barlobo01,Minnesota North Stars,MNS
barlobo01,Phoenix Roadrunners,PHR
barnama01,New York Rangers,NYR
barnama01,Chicago Black Hawks,CHI
barnama01,Dallas Stars,DAL
barnama01,Colorado Avalanche,COL
barnama01,Chicago Blackhawks,CHI
barnama01,Tampa Bay Lightning,TBL
barnama01,Buffalo Sabres,BUF
barnama01,Pittsburgh Penguins,PIT
barnebl01,Los Angeles Kings,LAK
barneno01,Hartford Whalers,HAR
barneno01,Philadelphia Flyers,PHI
barnery01,Detroit Red Wings,DET
barnesc01,Atlanta Thrashers,ATL
barnesc01,Los Angeles Kings,LAK
barnest01,Florida Panthers,FLO
barnest01,Pittsburgh Penguins,PIT
barnest01,Dallas Stars,DAL
barnest01,Winnipeg Jets,WIN
barnest01,Buffalo Sabres,BUF
baronma01,Boston Bruins,BOS
baronma01,Edmonton Oilers,EDM
baronma01,Los Angeles Kings,LAK
baronmu01,Montreal Canadiens,MTL
baronmu01,Phoenix Coyotes,PHO
baronmu01,St. Louis Blues,STL
baronmu01,Vancouver Canucks,VAN
baronmu01,Philadelphia Flyers,PHI
baronno01,St. Louis Blues,STL
