rivarpa01,Regina Capitals,REG
rivergu01,Montreal Canadiens,MTL
riverja01,Detroit Red Wings,DET
riverja01,Florida Panthers,FLO
riverja01,Ottawa Senators,OTT
riverja01,Boston Bruins,BOS
riverja01,Phoenix Coyotes,PHO
riverja01,New York Islanders,NYI
riverja01,St. Louis Blues,STL
riversh01,Tampa Bay Lightning,TBL
riverwa01,Boston Bruins,BOS
riverwa01,Detroit Red Wings,DET
riverwa01,New York Golden Blades/Jersey Knights,NYJ
riverwa01,St. Louis Blues,STL
riverwa01,New York Rangers,NYR
riverwa01,New York Raiders,NRA
riverwa01,San Diego Mariners,SDM
rivetcr01,Montreal Canadiens,MTL
rivetcr01,San Jose Sharks,SJS
rivetcr01,Buffalo Sabres,BUF
rivetcr01,Columbus Blue Jackets,CBS
rizzuga01,Vancouver Canucks,VAN
rizzuga01,Winnipeg Jets,WIJ
roachan01,St. Louis Blues,STL
roachjo01,Toronto Maple Leafs,TOR
roachjo01,New York Rangers,NYR
roachjo01,Detroit Red Wings,DET
roachjo01,Toronto St. Patricks,TRS
roachmi01,New York Americans,NYA
roachmi01,Toronto St. Patricks,TRS
roachmi01,Hamilton Tigers,HAM
robakco01,Florida Panthers,FLO
roberbe01,Edmonton Oilers,EDM
roberbe01,Vancouver Canucks,VAN
roberbe01,New York Rangers,NYR
robercl01,Montreal Canadiens,MTL
roberda01,Vancouver Canucks,VAN
roberda01,Edmonton Oilers,EDM
roberda01,St. Louis Blues,STL
roberdo01,Boston Bruins,BOS
roberdo01,California Golden Seals,CLF
roberdo01,New England Whalers,NEW
roberdo01,Oakland Seals,OAK
roberdo01,Detroit Red Wings,DET
roberea01,New York Americans,NYA
roberea01,Detroit Red Wings,DET
roberea01,Brooklyn Americans,BKN
roberfr01,Detroit Red Wings,DET
roberfr01,Toronto Maple Leafs,TOR
roberga01,Pittsburgh Penguins,PIT
roberga01,Florida Panthers,FLO
roberga01,Carolina Hurricanes,CAR
roberga01,Tampa Bay Lightning,TBL
roberga01,Toronto Maple Leafs,TOR
roberga01,Calgary Flames,CAL
roberge01,Montreal Canadiens,MTL
roberge02,Buffalo Sabres,BUF
robergo01,New England Whalers,NEW
robergo01,Minnesota North Stars,MNS
robergo01,Boston Bruins,BOS
robergo01,St. Louis Blues,STL
robergo01,Pittsburgh Penguins,PIT
robergo01,Philadelphia Flyers,PHI
robergo01,Hartford Whalers,HAR
robergo02,Ottawa Senators,OT1
robergo02,Montreal Wanderers,MOW
robergo02,Vancouver Millionaires,VML
robergo02,Seattle Metropolitans,SEA
roberji01,St. Louis Blues,STL
roberji01,Montreal Canadiens,MTL
roberji02,Minnesota North Stars,MNS
roberjo01,Minnesota Fighting Saints,MFS
roberjo01,Indianapolis Racers,IND
roberma01,Montreal Canadiens,MTL
robermo01,Chicago Black Hawks,CHI
robermo01,New York Americans,NYA
robermo01,Chicago Blackhawks,CHI
robermo01,Boston Bruins,BOS
roberph01,Colorado Rockies,COR
roberph01,St. Louis Blues,STL
roberph01,Cleveland Barons,CLE
roberph01,Montreal Canadiens,MTL
roberph01,Birmingham Bulls,BIR
roberph01,Kansas City Scouts,KCS
roberph01,Detroit Red Wings,DET
roberre01,Buffalo Sabres,BUF
roberre01,Pittsburgh Penguins,PIT
roberre01,Toronto Maple Leafs,TOR
roberre01,Colorado Rockies,COR
roberse01,Quebec Nordiques,QUE
roberto01,Hartford Whalers,HAR
roberto01,Detroit Red Wings,DET
roberto01,Washington Capitals,WAS
robidfl01,Chicago Black Hawks,CHI
robidfl01,Chicago Blackhawks,CHI
robidst01,Chicago Blackhawks,CHI
robidst01,Dallas Stars,DAL
robidst01,Chicago Black Hawks,CHI
robidst01,Montreal Canadiens,MTL
robindo01,Chicago Black Hawks,CHI
robindo01,New York Rangers,NYR
robindo01,Los Angeles Kings,LAK
robindo01,Chicago Blackhawks,CHI
robinea01,Chicago Black Hawks,CHI
robinea01,Montreal Canadiens,MTL
robinea01,Chicago Blackhawks,CHI
robinea01,Montreal Maroons,MTM
robinla01,Los Angeles Kings,LAK
robinla01,Montreal Canadiens,MTL
robinmo01,Montreal Canadiens,MTL
robinna01,Boston Bruins,BOS
robinna01,Detroit Red Wings,DET
robinro01,St. Louis Blues,STL
robinsc01,Minnesota North Stars,MNS
robitlo01,Washington Capitals,WAS
robitlu01,New York Rangers,NYR
robitlu01,Detroit Red Wings,DET
robitlu01,Los Angeles Kings,LAK
robitlu01,Pittsburgh Penguins,PIT
robitmi01,Vancouver Canucks,VAN
robitmi01,Buffalo Sabres,BUF
robitmi01,Detroit Red Wings,DET
robitmi01,New York Rangers,NYR
robitra01,Nashville Predators,NAS
robitra01,Pittsburgh Penguins,PIT
robitra01,Philadelphia Flyers,PHI
robitra01,Boston Bruins,BOS
robitra01,New York Islanders,NYI
robitra01,Atlanta Thrashers,ATL
robitra01,Los Angeles Kings,LAK
robitra01,Minnesota Wild,MIN
robitra01,Ottawa Senators,OTT
rocheda01,Detroit Red Wings,DET
rocheda02,Pittsburgh Penguins,PIT
rocheda02,Calgary Flames,CAL
rocheda02,New York Islanders,NYI
rochede01,Montreal Canadiens,MTL
rochede01,Detroit Red Wings,DET
rochede01,Ottawa Senators,OTS
rochede01,Montreal Maroons,MTM
rochede01,St. Louis Eagles,STE
rocheea01,Detroit Red Wings,DET
rocheea01,St. Louis Eagles,STE
rocheea01,Boston Bruins,BOS
rocheea01,Montreal Maroons,MTM
rocheea01,Ottawa Senators,OTS
rocheer01,Montreal Canadiens,MTL
rochele01,Philadelphia Flyers,PHI
rochele01,Montreal Canadiens,MTL
rochele01,Vancouver Canucks,VAN
rochele01,Detroit Red Wings,DET
rochele01,Los Angeles Kings,LAK
rochele01,New York Rangers,NYR
rochele01,Atlanta Flames,ATF
rocheno01,Quebec Nordiques,QUE
rocheno01,New York Rangers,NYR
rocheno01,Tampa Bay Lightning,TBL
rochetr01,Phoenix Coyotes,PHO
rochetr01,Minnesota Wild,MIN
rochofr01,Indianapolis Racers,IND
rochofr01,Chicago Cougars,CHC
rochofr01,Denver Spurs/Ottawa Civics,DOT
rochoge01,New Westminster Royals,NWR
rochoh01,Quebec Bulldogs,QU1
rochoj01,Montreal Canadiens,MOC
rockbha01,Detroit Falcons,DTF
rockbha01,Detroit Cougars,DTC
rockbha01,Ottawa Senators,OTS
roddeed01,Toronto Maple Leafs,TOR
roddeed01,New York Rangers,NYR
roddeed01,Boston Bruins,BOS
roddeed01,Chicago Blackhawks,CHI
roddeed01,Chicago Black Hawks,CHI
rodgema01,Detroit Red Wings,DET
rodnebr01,Edmonton Oilers,EDM
rodnebr01,Carolina Hurricanes,CAR
roenije01,Chicago Black Hawks,CHI
roenije01,Los Angeles Kings,LAK
roenije01,Philadelphia Flyers,PHI
roenije01,Phoenix Coyotes,PHO
roenije01,Chicago Blackhawks,CHI
roenije01,San Jose Sharks,SJS
roestst01,Minnesota Wild,MIN
roestst01,Detroit Red Wings,DET
rogerjo01,Minnesota North Stars,MNS
rogerjo01,Edmonton Oilers,EDO
rogermi01,New York Rangers,NYR
rogermi01,Edmonton Oilers,EDM
rogermi01,New England Whalers,NEW
rogermi01,Edmonton Oilers,EDO
rogermi01,Hartford Whalers,HAR
rohaclu01,Czechoslovakia,CZE
rohlije01,Vancouver Canucks,VAN
rohlile01,Vancouver Canucks,VAN
rohlojo01,Boston Bruins,BOS
rohloto01,Columbus Blue Jackets,CBS
rohloto01,Washington Capitals,WAS
rolfeda01,Los Angeles Kings,LAK
rolfeda01,New York Rangers,NYR
rolfeda01,Detroit Red Wings,DET
rolfeda01,Boston Bruins,BOS
rollial01,Chicago Black Hawks,CHI
rollial01,Toronto Maple Leafs,TOR
rollial01,New York Rangers,NYR
rollial01,Chicago Blackhawks,CHI
rollije01,Toronto Toros,TOT
rollije01,Birmingham Bulls,BIR
rollije01,Phoenix Roadrunners,PHR
rollije01,Indianapolis Racers,IND
rolosdw01,New York Islanders,NYI
rolosdw01,Calgary Flames,CAL
rolosdw01,Edmonton Oilers,EDM
rolosdw01,Tampa Bay Lightning,TBL
rolosdw01,Buffalo Sabres,BUF
rolosdw01,Minnesota Wild,MIN
rolstbr01,New Jersey Devils,NJD
rolstbr01,Boston Bruins,BOS
rolstbr01,Minnesota Wild,MIN
rolstbr01,New York Islanders,NYI
rolstbr01,Colorado Avalanche,COL
romanla01,Chicago Blackhawks,CHI
romanla01,Chicago Black Hawks,CHI
romanla01,Atlanta Flames,ATF
romanro01,Pittsburgh Penguins,PIT
romanro01,Boston Bruins,BOS
romanru01,Philadelphia Flyers,PHI
romanru01,Winnipeg Jets,WIN
romasig01,Soviet All Stars,SOV
rombodo01,Minnesota North Stars,MNS
rombodo01,New York Islanders,NYI
rombodo01,Buffalo Sabres,BUF
rombolo01,Chicago Cougars,CHC
romeaa01,Columbus Blue Jackets,CBS
romeaa01,Vancouver Canucks,VAN
romeaa01,Anaheim Ducks,AND
rominda01,Tampa Bay Lightning,TBL
romnedo01,Chicago Black Hawks,CHI
romnedo01,Toronto Maple Leafs,TOR
romnedo01,Chicago Blackhawks,CHI
romnedo01,New York Americans,NYA
ronaned01,Montreal Canadiens,MTL
ronaned01,Buffalo Sabres,BUF
ronaned01,Winnipeg Jets,WIN
ronansk01,Ottawa Senators,OT1
ronansk01,Renfrew Creamery Kings,REN
ronansk01,Toronto Ontarios/Shamrocks,TOO
ronansk01,Toronto Ontarios,TOO
ronansk01,Toronto Blueshirts,TBS
ronansk01,Ottawa Senators,OTS
ronansk01,Haileybury Hockey Club,HAI
ronansk01,Montreal Canadiens,MOC
ronnicl01,Nashville Predators,NAS
ronnicl01,New York Islanders,NYI
ronnicl01,Phoenix Coyotes,PHO
ronnicl01,St. Louis Blues,STL
ronnicl01,Vancouver Canucks,VAN
ronnicl01,Minnesota Wild,MIN
ronnicl01,Los Angeles Kings,LAK
ronnqjo01,Mighty Ducks of Anaheim,ANA
ronsole01,New York Rangers,NYR
ronsole01,Oakland Seals,OAK
rontypa01,New York Rangers,NYR
rontypa01,Montreal Canadiens,MTL
rontypa01,Boston Bruins,BOS
roonest01,New Jersey Devils,NJD
roonest01,Montreal Canadiens,MTL
roonest01,Winnipeg Jets,WIN
roonewa01,Quebec Bulldogs,QU1
rootbi01,Toronto Maple Leafs,TOR
rootbi01,Philadelphia Flyers,PHI
rootbi01,St. Louis Blues,STL
rootbi01,Montreal Canadiens,MTL
rosapa01,Los Angeles Kings,LAK
rosatmi01,Washington Capitals,WAS
rosehja01,Toronto Maple Leafs,TOR
roselbo01,Indianapolis Racers,IND
roselo01,Saskatoon Crescents,SAC
rossar01,Montreal Wanderers,MOW
rossar01,Haileybury Hockey Club,HAI
rossar01,Montreal Wanderers,MTW
rossar01,Ottawa Senators,OT1
rossiky01,Atlanta Thrashers,ATL
rossiky01,Florida Panthers,FLO
rossiro01,Montreal Canadiens,MTL
rossiro01,Detroit Red Wings,DET
rossja01,Philadelphia Flyers,PHI
rossji01,New York Rangers,NYR
rotada01,Chicago Black Hawks,CHI
rotada01,Chicago Blackhawks,CHI
rotada01,Vancouver Canucks,VAN
rotada01,Atlanta Flames,ATF
rotara01,Edmonton Oilers,EDO
rotara01,Montreal Canadiens,MTL
rotara01,Kansas City Scouts,KCS
rotara01,Colorado Rockies,COR
rotara01,Los Angeles Kings,LAK
rothssa01,Montreal Maroons,MTM
rothssa01,New York Americans,NYA
rothssa01,Pittsburgh Pirates,PIP
roulemi01,Quebec Nordiques,QUN
roulemi01,San Diego Mariners,SDM
roulemi01,Philadelphia Blazers,PHB
roulemi01,Michigan Stags/Baltimore Blades,MIB
roulsro01,Detroit Red Wings,DET
roulsto01,Edmonton Oilers,EDM
roulsto01,Pittsburgh Penguins,PIT
roupema01,Philadelphia Flyers,PHI
rourkal01,Edmonton Oilers,EDM
rourkal01,New York Islanders,NYI
rourkal01,Carolina Hurricanes,CAR
rousebo01,Detroit Red Wings,DET
rousebo01,Minnesota North Stars,MNS
rousebo01,San Jose Sharks,SJS
rousebo01,Toronto Maple Leafs,TOR
rousebo01,Washington Capitals,WAS
roussbo01,New York Rangers,NYR
roussbo01,Montreal Canadiens,MTL
roussbo01,Minnesota North Stars,MNS
roussdo01,Winnipeg Jets,WIN
roussdo01,Mighty Ducks of Anaheim,ANA
roussdo01,Edmonton Oilers,EDM
roussdo01,Philadelphia Flyers,PHI
roussdu01,Winnipeg Jets,WIJ
roussgu01,Montreal Canadiens,MTL
roussro01,Montreal Canadiens,MTL
routhje01,Quebec Nordiques,QUE
rowebo01,Boston Bruins,BOS
rowebo01,Renfrew Creamery Kings,REN
rowebo01,Portland Rosebuds,POR
rowebo01,Seattle Metropolitans,SEA
rowebo01,Victoria Aristocrats,VA1
rowemi01,Pittsburgh Penguins,PIT
rowero01,New York Rangers,NYR
roweto01,Detroit Red Wings,DET
roweto01,Hartford Whalers,HAR
roweto01,Washington Capitals,WAS
roy01,Montreal Canadiens,MOC
roy01,Montreal Wanderers,MOW
royan01,Calgary Flames,CAL
royan01,Boston Bruins,BOS
royan01,Pittsburgh Penguins,PIT
royan01,Ottawa Senators,OTT
royan01,Tampa Bay Lightning,TBL
royde01,Buffalo Sabres,BUF
royerga01,Tampa Bay Lightning,TBL
royerre01,Chicago Blackhawks,CHI
royerre01,Chicago Black Hawks,CHI
royje01,Boston Bruins,BOS
royje01,New York Rangers,NYR
royje01,Ottawa Senators,OTT
royma01,Columbus Blue Jackets,CBS
royma01,Edmonton Oilers,EDM
royma01,Tampa Bay Lightning,TBL
roypa01,Montreal Canadiens,MTL
roypa01,Colorado Avalanche,COL
roypi01,New England Whalers,NEW
roypi01,Quebec Nordiques,QUN
roypi01,Cincinnati Stingers,CIN
royst01,Minnesota North Stars,MNS
rozsimi01,Pittsburgh Penguins,PIT
rozsimi01,Phoenix Coyotes,PHO
rozsimi01,New York Rangers,NYR
rozzigi01,Boston Bruins,BOS
rucchst01,Mighty Ducks of Anaheim,ANA
rucchst01,New York Rangers,NYR
rucchst01,Atlanta Thrashers,ATL
rucinma01,Montreal Canadiens,MTL
rucinma01,Quebec Nordiques,QUE
rucinma01,New York Rangers,NYR
rucinma01,St. Louis Blues,STL
rucinma01,Edmonton Oilers,EDM
rucinma01,Colorado Avalanche,COL
rucinma01,Dallas Stars,DAL
rucinma01,Vancouver Canucks,VAN
rucinmi01,Chicago Black Hawks,CHI
rucinmi01,Chicago Blackhawks,CHI
rucinmi02,Carolina Hurricanes,CAR
rudkoco01,St. Louis Blues,STL
ruellbe01,Detroit Red Wings,DET
ruffja01,Tampa Bay Lightning,TBL
ruffja01,St. Louis Blues,STL
ruffli01,Buffalo Sabres,BUF
ruffli01,New York Rangers,NYR
ruhnkke01,Winnipeg Jets,WIJ
ruhnkke01,Boston Bruins,BOS
rumblda01,Tampa Bay Lightning,TBL
rumblda01,Philadelphia Flyers,PHI
rumblda01,Ottawa Senators,OTT
rumblda01,St. Louis Blues,STL
rundbda01,Phoenix Coyotes,PHO
rundbda01,Ottawa Senators,OTT
rundqth01,Montreal Canadiens,MTL
rungepa01,Boston Bruins,BOS
rungepa01,Montreal Maroons,MTM
rungepa01,Montreal Canadiens,MTL
ruotsre01,Edmonton Oilers,EDM
ruotsre01,New York Rangers,NYR
ruotsre01,New Jersey Devils,NJD
ruppdu01,Pittsburgh Penguins,PIT
ruppdu01,New York Rangers,NYR
ruppdu01,Toronto Maple Leafs,TOR
ruppdu01,Minnesota North Stars,MNS
ruppdu01,Vancouver Blazers,VAB
ruppdu01,Calgary Cowboys,CAC
ruppmi01,Pittsburgh Penguins,PIT
ruppmi01,New Jersey Devils,NJD
ruppmi01,Columbus Blue Jackets,CBS
ruppmi01,Phoenix Coyotes,PHO
ruppmi01,New York Rangers,NYR
rupppa01,Detroit Red Wings,DET
ruskote01,Chicago Black Hawks,CHI
ruskote01,Minnesota North Stars,MNS
ruskote01,Houston Aeros,HOU
ruskote01,Pittsburgh Penguins,PIT
ruskote01,Winnipeg Jets,WIJ
ruskote01,Chicago Blackhawks,CHI
ruskote01,Los Angeles Kings,LAK
russebo01,Edmonton Oilers,EDO
russeca01,Colorado Avalanche,COL
russeca01,Chicago Black Hawks,CHI
russeca01,Chicago Blackhawks,CHI
russech01,New York Rangers,NYR
russeer01,Montreal Wanderers,MOW
russekr01,Columbus Blue Jackets,CBS
russekr01,St. Louis Blues,STL
russeph01,Chicago Blackhawks,CHI
russeph01,Chicago Black Hawks,CHI
russeph01,Buffalo Sabres,BUF
russeph01,Calgary Flames,CAL
russeph01,New Jersey Devils,NJD
russeph01,Atlanta Flames,ATF
russery01,Columbus Blue Jackets,CBS
rutheji01,Detroit Red Wings,DET
rutheji01,Toronto Maple Leafs,TOR
rutheji01,Pittsburgh Penguins,PIT
rutheji01,Los Angeles Kings,LAK
rutlewa01,Los Angeles Kings,LAK
rutlewa01,Houston Aeros,HOU
ruuttch01,Chicago Black Hawks,CHI
ruuttch01,Vancouver Canucks,VAN
ruuttch01,Buffalo Sabres,BUF
ruuttch01,Chicago Blackhawks,CHI
ruutuja01,Pittsburgh Penguins,PIT
ruutuja01,Anaheim Ducks,AND
ruutuja01,Vancouver Canucks,VAN
ruutuja01,Ottawa Senators,OTT
ruututu01,Chicago Blackhawks,CHI
ruututu01,Carolina Hurricanes,CAR
ruututu01,Chicago Black Hawks,CHI
ruzicst01,Philadelphia Flyers,PHI
ruzicvl01,Boston Bruins,BOS
ruzicvl01,Edmonton Oilers,EDM
ruzicvl01,Ottawa Senators,OTT
ryanbo01,Anaheim Ducks,AND
ryanma01,Los Angeles Kings,LAK
ryanmi01,Buffalo Sabres,BUF
ryanmi01,Carolina Hurricanes,CAR
ryanpr01,Vancouver Canucks,VAN
ryante01,Montreal Canadiens,MTL
ryante02,Minnesota Fighting Saints,MFS
rychewa01,Chicago Blackhawks,CHI
rychewa01,Mighty Ducks of Anaheim,ANA
rychewa01,Toronto Maple Leafs,TOR
rychewa01,Chicago Black Hawks,CHI
rychewa01,Los Angeles Kings,LAK
rychewa01,Colorado Avalanche,COL
rycroal01,Cleveland Crusaders,CLC
rycroma01,St. Louis Blues,STL
rycroma01,Colorado Avalanche,COL
rydermi01,Dallas Stars,DAL
rydermi01,Montreal Canadiens,MTL
rydermi01,Boston Bruins,BOS
rydmabl01,Minnesota Fighting Saints,MFS
rydmabl01,New York Raiders,NRA
rymshan01,Quebec Nordiques,QUE
rynnaju01,Toronto Maple Leafs,TOR
rypieri01,Vancouver Canucks,VAN
ryznaja01,New Jersey Devils,NJD
saadbr01,Chicago Blackhawks,CHI
saadbr01,Chicago Black Hawks,CHI
saariol01,Finland,FIN
saarisi01,New York Rangers,NYR
sabolsh01,Philadelphia Flyers,PHI
saboubo01,Toronto Maple Leafs,TOR
sabouda01,Pittsburgh Penguins,PIT
sabouda01,Vancouver Canucks,VAN
sabouda01,Calgary Flames,CAL
sabouga01,Cleveland Barons,CLE
sabouga01,Toronto Maple Leafs,TOR
sabouga01,St. Louis Blues,STL
sabouga01,California Golden Seals,CLF
sabouke01,Calgary Flames,CAL
sabouke01,Washington Capitals,WAS
sabouos01,Saskatoon Crescents,SAC
saccoda01,Mighty Ducks of Anaheim,ANA
saccoda01,Toronto Maple Leafs,TOR
saccojo01,Washington Capitals,WAS
saccojo01,Philadelphia Flyers,PHI
saccojo01,Mighty Ducks of Anaheim,ANA
saccojo01,Toronto Maple Leafs,TOR
saccojo01,New York Islanders,NYI
sachala01,Indianapolis Racers,IND
sachala01,New York Rangers,NYR
sachala01,St. Louis Blues,STL
safroki01,Atlanta Thrashers,ATL
safroki01,Phoenix Coyotes,PHO
saganro01,Pittsburgh Penguins,PIT
saganro01,Toronto Maple Leafs,TOR
sakicjo01,Colorado Avalanche,COL
sakicjo01,Quebec Nordiques,QUE
salajbo01,Czechoslovakia,CZE
salakal01,Florida Panthers,FLO
salcibr01,Anaheim Ducks,AND
saleiru01,Colorado Avalanche,COL
saleiru01,Florida Panthers,FLO
saleiru01,Detroit Red Wings,DET
saleiru01,Mighty Ducks of Anaheim,ANA
salesdo01,Philadelphia Flyers,PHI
salesdo01,Colorado Rockies,COR
salmean01,New Jersey Devils,NJD
salmean01,Atlanta Thrashers,ATL
salmeto01,Edmonton Oilers,EDM
salmeto01,Chicago Blackhawks,CHI
salmeto01,Chicago Black Hawks,CHI
salmibo01,Toronto Maple Leafs,TOR
salmibo01,Detroit Red Wings,DET
saloman01,Washington Capitals,WAS
saloman01,New Jersey Devils,NJD
salosa01,Vancouver Canucks,VAN
salosa01,Ottawa Senators,OTT
saloto01,New York Islanders,NYI
saloto01,Edmonton Oilers,EDM
saloto01,Colorado Avalanche,COL
salovba01,Detroit Red Wings,DET
salvabr01,St. Louis Blues,STL
salvabr01,New Jersey Devils,NJD
salvida01,New York Islanders,NYI
samisph01,Toronto Maple Leafs,TOR
sampsga01,Washington Capitals,WAS
samsoje01,Carolina Hurricanes,CAR
samsose01,Florida Panthers,FLO
samsose01,Edmonton Oilers,EDM
samsose01,Montreal Canadiens,MTL
samsose01,Boston Bruins,BOS
samsose01,Chicago Black Hawks,CHI
samsose01,Carolina Hurricanes,CAR
samsose01,Chicago Blackhawks,CHI
samuekj01,Philadelphia Flyers,PHI
samuekj01,New York Rangers,NYR
samuekj01,Tampa Bay Lightning,TBL
samuekj01,Pittsburgh Penguins,PIT
samuema01,Boston Bruins,BOS
samuemi01,New York Rangers,NYR
samuemi01,Vancouver Canucks,VAN
samuemi01,Pittsburgh Penguins,PIT
samuemi01,Detroit Red Wings,DET
samuemi01,San Jose Sharks,SJS
samuemi01,Florida Panthers,FLO
samueul01,Philadelphia Flyers,PHI
samueul01,Detroit Red Wings,DET
samueul01,Hartford Whalers,HAR
samueul01,New York Rangers,NYR
samueul01,Pittsburgh Penguins,PIT
sandbca01,Edmonton Oilers,EDO
sandede01,St. Louis Blues,STL
sandede01,Boston Bruins,BOS
sandede01,Vancouver Canucks,VAN
sandede01,Pittsburgh Penguins,PIT
sandede01,New York Rangers,NYR
sandede01,Philadelphia Blazers,PHB
sandefr01,Minnesota Fighting Saints,MFS
sandege01,Buffalo Sabres,BUF
sandege01,Edmonton Oilers,EDM
sandege01,Hartford Whalers,HAR
sandege01,Philadelphia Flyers,PHI
sandege01,Vancouver Canucks,VAN
sandege01,Carolina Hurricanes,CAR
sandege01,Columbus Blue Jackets,CBS
sandege01,Phoenix Coyotes,PHO
sandesc01,Philadelphia Flyers,PHI
sandesc01,Montreal Canadiens,MTL
sandesc01,Minnesota North Stars,MNS
sandfed01,Chicago Black Hawks,CHI
sandfed01,Chicago Blackhawks,CHI
sandfed01,Detroit Red Wings,DET
sandfed01,Boston Bruins,BOS
sandlji01,Hartford Whalers,HAR
sandlji01,Vancouver Canucks,VAN
sandsch01,Toronto Maple Leafs,TOR
sandsch01,New York Rangers,NYR
sandsch01,Boston Bruins,BOS
sandsch01,Montreal Canadiens,MTL
sandsmi01,Minnesota North Stars,MNS
sandsto01,Pittsburgh Penguins,PIT
sandsto01,Detroit Red Wings,DET
sandsto01,Los Angeles Kings,LAK
sandsto01,New York Rangers,NYR
sandsto01,Mighty Ducks of Anaheim,ANA
sandwte01,Edmonton Oilers,EDM
sanfocu01,Vancouver Canucks,VAN
sanfocu01,St. Louis Blues,STL
sanfocu01,Columbus Blue Jackets,CBS
sangubo01,New York Rangers,NYR
sangubo01,Carolina Hurricanes,CAR
sanipev01,Chicago Black Hawks,CHI
sanipev01,Quebec Nordiques,QUE
sanipev01,Chicago Blackhawks,CHI
santato01,Atlanta Thrashers,ATL
santato01,Vancouver Canucks,VAN
santomi01,Nashville Predators,NAS
santomi01,Florida Panthers,FLO
sanzani01,Denver Spurs/Ottawa Civics,DOT
sapryol01,Ottawa Senators,OTT
sapryol01,Phoenix Coyotes,PHO
sapryol01,Calgary Flames,CAL
sarauyv01,Atlanta Thrashers,ATL
sarauyv01,Colorado Avalanche,COL
sarauyv01,Calgary Flames,CAL
sarauyv01,Ottawa Senators,OTT
sarauyv01,Nashville Predators,NAS
sarauyv01,Montreal Canadiens,MTL
sargega01,Minnesota North Stars,MNS
sargega01,Los Angeles Kings,LAK
saricco01,Tampa Bay Lightning,TBL
saricco01,Calgary Flames,CAL
saricco01,Buffalo Sabres,BUF
sarjege01,St. Louis Blues,STL
sarjege01,San Jose Sharks,SJS
sarnecr01,Boston Bruins,BOS
sarnecr01,Minnesota Fighting Saints,MFS
sarnope01,Edmonton Oilers,EDM
sarnope01,Columbus Blue Jackets,CBS
sarradi01,Chicago Cougars,CHC
sarradi01,Philadelphia Flyers,PHI
sarradi01,New England Whalers,NEW
sasakfr01,Chicago Blackhawks,CHI
sasakfr01,Chicago Black Hawks,CHI
sassegr01,Pittsburgh Penguins,PIT
satanmi01,Edmonton Oilers,EDM
satanmi01,Pittsburgh Penguins,PIT
satanmi01,New York Islanders,NYI
satanmi01,Buffalo Sabres,BUF
satanmi01,Boston Bruins,BOS
sathegl01,St. Louis Blues,STL
sathegl01,Minnesota North Stars,MNS
sathegl01,Montreal Canadiens,MTL
sathegl01,New York Rangers,NYR
sathegl01,Boston Bruins,BOS
sathegl01,Edmonton Oilers,EDO
sathegl01,Pittsburgh Penguins,PIT
sauerku01,Colorado Avalanche,COL
sauerku01,Mighty Ducks of Anaheim,ANA
sauerku01,Phoenix Coyotes,PHO
sauermi01,New York Rangers,NYR
saundbe01,Quebec Nordiques,QUE
saundda01,Vancouver Canucks,VAN
saundte01,Ottawa Senators,OTS
sauvebo01,Chicago Blackhawks,CHI
sauvebo01,New Jersey Devils,NJD
sauvebo01,Detroit Red Wings,DET
sauvebo01,Chicago Black Hawks,CHI
sauvebo01,Buffalo Sabres,BUF
sauveje01,Quebec Nordiques,QUE
sauveje01,Buffalo Sabres,BUF
sauvema01,Boston Bruins,BOS
sauveph01,Calgary Flames,CAL
sauveph01,Boston Bruins,BOS
sauveph01,Colorado Avalanche,COL
sauveph01,Phoenix Coyotes,PHO
sauveya01,Vancouver Canucks,VAN
savagan01,Philadelphia Flyers,PHI
savagan01,Boston Bruins,BOS
savagbr01,Philadelphia Flyers,PHI
savagbr01,St. Louis Blues,STL
savagbr01,Montreal Canadiens,MTL
savagbr01,Phoenix Coyotes,PHO
savagjo01,Buffalo Sabres,BUF
savagre01,Quebec Nordiques,QUE
savagre01,Washington Capitals,WAS
savagto01,Montreal Canadiens,MTL
savagto01,Boston Bruins,BOS
savaran01,Quebec Nordiques,QUE
savaran01,Buffalo Sabres,BUF
savaran01,Boston Bruins,BOS
savarda01,Columbus Blue Jackets,CBS
savarde01,Chicago Blackhawks,CHI
savarde01,Chicago Black Hawks,CHI
savarde01,Tampa Bay Lightning,TBL
savarde01,Montreal Canadiens,MTL
savarje01,Hartford Whalers,HAR
savarje01,Chicago Blackhawks,CHI
savarje01,Chicago Black Hawks,CHI
savarjo01,Quebec Bulldogs,QU1
savarma01,New York Rangers,NYR
savarma01,Calgary Flames,CAL
savarma01,Atlanta Thrashers,ATL
savarma01,Boston Bruins,BOS
savarse01,Montreal Canadiens,MTL
savarse01,Winnipeg Jets,WIN
savoiry01,Pittsburgh Penguins,PIT
sawadra01,Dallas Stars,DAL
sawchte01,Boston Bruins,BOS
sawchte01,Los Angeles Kings,LAK
sawchte01,Detroit Red Wings,DET
sawchte01,Toronto Maple Leafs,TOR
sawchte01,New York Rangers,NYR
sawyeke01,Phoenix Coyotes,PHO
sawyeke01,Mighty Ducks of Anaheim,ANA
sawyeke01,Boston Bruins,BOS
sawyeke01,St. Louis Blues,STL
sbisalu01,Anaheim Ducks,AND
sbisalu01,Philadelphia Flyers,PHI
scamupe01,Washington Capitals,WAS
scandma01,Minnesota Wild,MIN
scatcda01,Nashville Predators,NAS
scatcda01,Boston Bruins,BOS
scatcda01,Phoenix Coyotes,PHO
